Year_Month,Diary_Industrial_Turnover_Index,Diary_Industrial_Turnover_Index (Seasonally Adjusted) 
2009M01,88.8,100.9
2009M02,94.9,105.6
2009M03,94.1,87.5
2009M04,89.8,89.2
2009M05,113.5,105.1
2009M06,113.6,100.6
2009M07,100.4,101
2009M08,94.8,98.5
2009M09,110.7,106.8
2009M10,92.6,99.1
2009M11,95.9,99.6
2009M12,111,106.6
2010M01,71.1,105.3
2010M02,69.8,99
2010M03,85,92
2010M04,88.1,89.6
2010M05,103.4,91.1
2010M06,123.2,95.6
2010M07,105.5,95.8
2010M08,110.1,97.2
2010M09,126.7,106.9
2010M10,111.3,107
2010M11,112.4,111.8
2010M12,93.4,109.2
2011M01,72.1,106.6
2011M02,78.9,110
2011M03,103.4,110.7
2011M04,113,112.4
2011M05,128.5,114
2011M06,146.6,119.3
2011M07,126,115.5
2011M08,122.3,109.2
2011M09,127.5,108.5
2011M10,107.4,101.4
2011M11,100.8,101.9
2011M12,83.2,101.1
2012M01,68,103.1
2012M02,71.5,105.2
2012M03,106.8,114.2
2012M04,106.9,102.9
2012M05,115.9,98.6
2012M06,125.5,99.4
2012M07,107.8,96.3
2012M08,109.2,95.2
2012M09,120.2,102.8
2012M10,109.4,101.7
2012M11,103.6,106.9
2012M12,83.4,103.3
2013M01,64.6,100
2013M02,71,107
2013M03,103.9,111.8
2013M04,106.6,98.7
2013M05,140.3,119.8
2013M06,147.5,123.1
2013M07,138.1,125.4
2013M08,148.2,133.8
2013M09,146.8,131.9
2013M10,114.6,105.3
2013M11,127.5,131.8
2013M12,119.6,141.5
2014M01,108.3,143.6
2014M02,94.5,132.4
2014M03,125.7,134.1
2014M04,149.9,138.3
2014M05,165.5,142.5
2014M06,160.4,138.6
2014M07,166.1,152.4
2014M08,151.2,135.2
2014M09,139.9,127.2
2014M10,144.1,134.3
2014M11,113.6,118.7
2014M12,94.1,117.1
2015M01,90.9,125.6
2015M02,87.4,126.1
2015M03,124.6,134
2015M04,149.8,135.9
2015M05,170.8,146.2
2015M06,138.4,118.6
2015M07,107.8,93.4
2015M08,132.5,115.3
2015M09,127.3,116.1
2015M10,127.6,117.7
2015M11,116.2,121.3
2015M12,99.6,123.4
2016M01,79.2,113.9
2016M02,80.5,119.3
2016M03,102,112
2016M04,130,114.6
2016M05,123.3,98.2
2016M06,157.9,139.5
2016M07,129.8,115.1
2016M08,128,109.6
2016M09,122.8,112
2016M10,130.5,121.7
2016M11,123.4,128
2016M12,98.2,121.7
2017M01,101,136.2
2017M02,93.3,131.6
2017M03,123.5,134.1
2017M04,156.1,140.2
2017M05,170.4,145.4
2017M06,160.5,142.4
2017M07,168.2,153.5
2017M08,181.9,163.1
2017M09,170.1,159.1
2017M10,156.8,148.9
2017M11,144.4,148.1
2017M12,138.7,161.9
2018M01,91.8,127.6
2018M02,104.7,142.5
2018M03,163.6,145.7
2018M04,118.7,123.7
2018M05,123.7,134
2018M06,136.6,130.1
2018M07,136.8,132.6
2018M08,132.8,132.7
2018M09,127.2,132.4
2018M10,110.7,114.5
2018M11,122.4,128
2018M12,123.2,129.8
2019M01,140.6,133.3
2019M02,131.2,129.4
2019M03,155.1,136.9
2019M04,133.1,138.1
2019M05,122.6,132.7
