Year_Month,Cheese,Butter,Skimmed_Milk 
2009M01,1.1,4.1,3
2009M02,3.5,3.7,4.6
2009M03,7.6,5.4,5.4
2009M04,9.3,7.4,8.5
2009M05,11.5,9.4,9.6
2009M06,2.2,12.5,6.2
2009M07,4.3,14.9,8.8
2009M08,9.6,9,7.5
2009M09,14.2,6.2,9.6
2009M10,16.5,8.3,12.1
2009M11,1.9,12.1,13.2
2009M12,2,7.5,14.7
2010M01,2.1,3.4,3
2010M02,5.1,5.7,2.7
2010M03,15.5,10.1,1.3
2010M04,17.9,12.9,6.8
2010M05,22.3,15,10.9
2010M06,25.5,16.8,8.8
2010M07,20.2,16,8
2010M08,17,14.7,7.5
2010M09,19.5,13.2,4.8
2010M10,13.4,11.5,2.1
2010M11,9.7,9.5,3
2010M12,3.7,6.4,4.5
2011M01,2.5,4,3.2
2011M02,5.3,5.8,3.4
2011M03,15.9,12.5,6.4
2011M04,21.6,14.9,5.4
2011M05,24.7,19,8.5
2011M06,27.2,18.5,8.8
2011M07,21.8,17,9.6
2011M08,20.3,15.6,8.4
2011M09,19.4,13.8,5.4
2011M10,12.2,11.4,3.1
2011M11,6,8.6,1
2011M12,2.8,4.9,2.6
2012M01,2.3,4,4.6
2012M02,4.9,7.4,1.5
2012M03,18.1,13.9,2.5
2012M04,22,16.9,6.3
2012M05,24.8,21,9.2
2012M06,27.1,19.4,9.5
2012M07,21,15.9,6.2
2012M08,20.4,14,5.8
2012M09,21.4,10.8,3.6
2012M10,15,10,4.6
2012M11,6.2,7.8,5
2012M12,2.3,4.1,3.2
2013M01,2,4,4.6
2013M02,5.7,6.3,6.1
2013M03,17.9,12.1,3
2013M04,19,16.6,4.6
2013M05,24,19.8,8.1
2013M06,27.4,17.6,6
2013M07,21.8,16.7,6.2
2013M08,21.4,15.4,5.1
2013M09,21,13.6,3.7
2013M10,13.4,14.1,1.2
2013M11,5.9,10.3,5.2
2013M12,3.3,5.5,4.3
2014M01,2.3,4.4,6.1
2014M02,6.5,6.2,0.8
2014M03,18.4,14.4,3.9
2014M04,22.8,17.3,6.5
2014M05,24.8,21.7,11.9
2014M06,26.5,19.6,11
2014M07,21.8,20.3,10.1
2014M08,20.4,17.5,8.4
2014M09,22.1,15.7,4.9
2014M10,14.8,13.5,14
2014M11,5.3,9.8,7.3
2014M12,2.7,5.9,3.9
2015M01,1.9,3.5,1.8
2015M02,7,6.6,1.9
2015M03,15.9,14.8,3.4
2015M04,20,20.3,11.5
2015M05,23.2,22.8,16.6
2015M06,26.5,23.2,17.2
2015M07,22.5,22.7,11.3
2015M08,23.8,20.2,10.5
2015M09,26.8,17.2,10.5
2015M10,19.7,15.7,6.2
2015M11,16.1,12.5,1.6
2015M12,3.5,8.1,5.7
2016M01,2,5,4.4
2016M02,7.4,9.3,3.5
2016M03,17.3,20.1,8.8
2016M04,20.4,21.7,14.3
2016M05,24.3,24.4,24.2
2016M06,27.1,23.2,15.4
2016M07,22.4,20.3,13.7
2016M08,23.3,20.3,11
2016M09,21.9,18.5,7.7
2016M10,18.6,15.2,6.8
2016M11,16,12.5,4.6
2016M12,4.2,8.3,4.3
2017M01,2.8,5.2,6.2
2017M02,8.1,8.5,3.3
2017M03,20.3,20.3,5.5
2017M04,20.4,24.2,12.1
2017M05,21.9,28.3,24.4
2017M06,24.4,27,19.6
2017M07,20.4,23.9,14.5
2017M08,21,23.3,11.5
2017M09,23.3,18.2,8.9
2017M10,16.3,17.3,5.7
2017M11,12.3,15.9,6.1
2017M12,5,11.4,6.5
2018M01,7.1,8.9,6.7
2018M02,9.2,9.5,7
2018M03,11.6,20.2,7.1
2018M04,11.9,23.7,10.1
2018M05,12.6,27.5,20.4
2018M06,14.8,25.6,18.6
2018M07,15.2,23.4,13.1
2018M08,10,24.6,13.6
2018M09,12.7,22.5,11.5
2018M10,13.8,20.3,10.1
2018M11,15.8,17.6,11.7
2018M12,17.4,13.4,11.3
2019M01,18.2,7.1,11.6
2019M02,19.1,20.4,12.1
2019M03,19.8,9.2,11.4
2019M04,20.2,20.3,10.6
2019M05,23.5,25.4,11.5
